fold_end,n_test,accuracy,auc,log_loss,majority_baseline_acc
2020-08-29,2249,0.5615829257447754,0.5281289598319465,0.6867421451214433,0.5615829257447755
2021-09-10,2265,0.56158940397351,0.5487193225519071,0.6819783007116367,0.5637969094922737
2022-09-20,2324,0.5499139414802066,0.5136169908089552,0.6863894357370345,0.5658347676419966
2023-09-22,2298,0.52088772845953,0.5368505408361691,0.6914085560159617,0.5265448215839861
2024-09-25,2260,0.5761061946902655,0.5410734685649006,0.6809595060108188,0.572566371681416
2025-09-28,2226,0.5646900269541779,0.5402844281566501,0.6832938448128701,0.5610961365678346
