task,n_folds,total_test_games,mean_accuracy,weighted_accuracy,mean_auc,mean_log_loss,mean_baseline_accuracy
winner,6,13622,0.5664206347548993,0.5664366466010865,0.5863147088781885,0.6797208309599356,0.5328858048943071
totals,6,13622,0.5557950368837442,0.5556452796946116,0.5347789517917548,0.6851286314016275,0.5585703221187138
